Title,Start,End,Mark,URL
PhD Colloquium by Sweety Arora,10-12-2020 11.30,10-12-2020 12.30,Info,https://materials.iisc.ac.in/blog/2020/10/05/12-oct-2020-11-30am-phd-colloquium-by-ms-sweety-arora/
"Seminar by Prof. Maria Teresa Prado, Materials Institute in Madrid, Spain",10-15-2020  6.00 PM,10-15-2020  7.00 PM,Info,https://materials.iisc.ac.in/blog/2020/10/05/15-oct-2020-6pm-seminar-by-prof-maria-teresa-prado/
PhD Colloquium by Yudhajit Bhattacharjee,10-27-2020 11.30 AM,10-27-2020 12.30 PM,Info,https://materials.iisc.ac.in/blog/2020/10/05/27-oct-2020-11-30am-phd-colloquium-by-mr-yudhajit-bhattacharjee/
PhD Defence by Mr. Levie Mweene,12-16-2020 11.00 AM,12-16-2020 12.00 PM,Info,
PhD Thesis Defence  by Mr. Kundan Kumar Verma,12-23-2020 11.30 AM,12-23-2020 12.30 PM,Info,https://materials.iisc.ac.in/defence/kundan-kumar-23-dec-2020
Seminar by Prof. Umesh V Waghmare,12-24-2020 04.00 PM,12-24-2020 05.00 PM,Important,https://materials.iisc.ac.in/seminar/waghmare-24-dec-2020
PhD Thesis Defence  by Mr. Fiyanshu Kaka,12-29-2020 02.00 PM,12-29-2020 03.00 PM,Info,https://materials.iisc.ac.in/defence/fiyanshu-29-dec-2020
PhD Thesis Colloquium  by Mr. Ujjval Bansal,01-11-2021 14.30,01-11-2021 15.30,Info,https://materials.iisc.ac.in/colloquium/ujjval-11-jan-2021
PhD Thesis Defence  by Mr. Ashutosh Jangde,01-08-2021 15.00,01-08-2021 16.00,Info,https://materials.iisc.ac.in/defence/ashutosh-08-jan-2021
PhD Thesis Defence  by Mr. Esakkiraja N,02-02-2021 16.00,02-02-2021 17.00,Info,https://materials.iisc.ac.in/defence/esakkiraja-02-feb-2021
PhD Thesis Defence  by Mr. Arnab De,02-05-2021 10.30,02-05-2021 11.30,Info,https://materials.iisc.ac.in/defence/arnab-05-feb-2021
Seminar by Prof. Peter Voorhees,02-09-2021 20.00,02-09-2021 21.00,Important,https://materials.iisc.ac.in/seminar/peter-09-feb-2021
PhD Thesis Defence  by Mr. Gobinda Das Adhikary,02-11-2021 15.00,02-11-2021 16.00,Info,https://materials.iisc.ac.in/defence/gobinda-11-feb-2021
PhD Thesis Defence  by Mr. Tanyaradzwa S. Muzata,02-16-2021 11.00 AM,02-16-2021 12.30 PM,Info,https://materials.iisc.ac.in/defence/tanyaradzwa-16-feb-2021
PhD Thesis Defence  by Ms. Mousumi Beto Mukherjee,03-04-2021 11.00,03-04-2021 12.30,Info,https://materials.iisc.ac.in/defence/mousumi-04-mar-2021
PhD Thesis Defence  by Mr. Sarvesh Kumar,03-11-2021 14.30,03-11-2021 15.30,Info,https://materials.iisc.ac.in/defence/sarvesh-11-mar-2021
PhD Thesis Defence  by Mr. Girish Bojjawar,03-23-2021 03.00 PM,03-23-2021 04.00 PM,Info,https://materials.iisc.ac.in/defence/girish-23-mar-2021
Seminar by Prof. Tresa Pollock,03-26-2021 09.35 AM,03-26-2021 10.35 AM ,Important,https://materials.iisc.ac.in/seminar/tresa-26-mar-2021
PhD Thesis Defence  by Mr. Abhinav Arya,03-29-2021 04.00 PM,03-29-2021 05.00 PM,Info,https://materials.iisc.ac.in/defence/abhinav-29-mar-2021
PhD Thesis Defence  by Ms. Sonawane Dipali Shivaji,03-30-2021 03.00 PM,03-30-2021 04.00 PM,Info,https://materials.iisc.ac.in/defence/dipali-30-mar-2021
PhD Thesis Defence  by Mr. K.U. Yazar,03-31-2021 03.30 PM,03-31-2021 04.30 PM,Info,https://materials.iisc.ac.in/defence/yazar-31-mar-2021
Seminar by Prof G.K. Ananthasuresh,04-08-2021 16.00,04-08-2021 17.00,Important,https://materials.iisc.ac.in/seminar/ananthasuresh-08-apr-2021
PhD Colloquium by Mr. Angappan M,04-16-2021 11.00 AM,04-16-2021 11.55 AM,Info,https://materials.iisc.ac.in/colloquium/angappan-16-apr-2021
PhD Thesis Defence  by Ms. Shrutee L,04-28-2021 03.00 PM,04-28-2021 04.00 PM,Info,https://materials.iisc.ac.in/defence/shrutee-28-apr-2021
PhD Thesis Defence  by Ms. Sweety Arora,04-29-2021 10.00 AM,04-29-2021 11.00 AM,Info,https://materials.iisc.ac.in/defence/sweety-29-apr-2021
Seminar by Dr. Pikee Priya,05-04-2021 16.00,05-04-2021 17.00,Important,https://materials.iisc.ac.in/seminar/priya-04-may-2021
Seminar by UCL,05-13-2021 02.30 PM,05-13-2021 06.00 PM,Important,https://materials.iisc.ac.in/seminar/ucl-13-may-2021
Seminar by Dr. Ankur Chauhan,04-29-2021 05.00 PM,04-29-2021 06.00 PM,Important,https://materials.iisc.ac.in/seminar/ankur-29-apr-2021
PhD Colloquium by Mr. Amith G. Anil,05-07-2021 11.00 AM,05-07-2021 11.55 AM,Info,https://materials.iisc.ac.in/colloquium/amith-07-may-2021
Seminar by Dr. Sunita Mehta,06-03-2021 04.00 PM,06-03-2021 05.00 PM,Important,https://materials.iisc.ac.in/seminar/sunita-03-jun-2021
Seminar by Dr. Archana Sinha,06-07-2021 11.30 AM,06-07-2021 12.30 PM,Important,https://materials.iisc.ac.in/seminar/archana-07-jun-2021
PhD Colloquium by Mr. Amith G. Anil,05-07-2021 11.00,05-07-2021 11.55,Info,https://materials.iisc.ac.in/colloquium/amith-07-may-2021
PhD Colloquium by  Mr. Anupam Mishra,05-24-2021  11.00,05-24-2021  12.00,Info,https://materials.iisc.ac.in/colloquium/anupam-24-may-2021
PhD Colloquium by Mr. Aramanda Shanmukha Kiran,05-25-2021  11.30 AM,05-25-2021  12.30 PM,Info,https://materials.iisc.ac.in/colloquium/kiran-25-may-2021
PhD Colloquium by Mr. Khanna Sumeet Rajesh,05-25-2021  03.00 PM,05-25-2021  04.00 PM,Info,https://materials.iisc.ac.in/colloquium/khanna-25-may-2021
"Mini symposium on ""In-situ nanomechanical testing and property correlation""",06-01-2021 16.00,06-01-2021 6.30PM,Special,https://materials.iisc.ac.in/symposium/nanomechtest-1-jun-2021
"Mini symposium on ""In-situ nanomechanical testing and property correlation""",06-02-2021 16.00,06-02-2021 6.30PM,Special,https://materials.iisc.ac.in/symposium/nanomechtest-1-jun-2021
PhD Thesis Defence  by Mr. Yudhajit Bhattacharjee,06-08-2021 11.30 AM,06-08-2021 12.30 PM,Info,https://materials.iisc.ac.in/defence/yudhajit-08-jun-2021
Seminar by Dr. Sujit Das,06-11-2021 02.00 PM,06-11-2021 03.00 PM,Important,https://materials.iisc.ac.in/seminar/sujit-11-jun-2021
PhD Colloquium by Mr. Ahmed Aliyu,06-10-2021  11.00 AM,06-10-2021  11.55 AM,Info,https://materials.iisc.ac.in/colloquium/ahmed-10-jun-2021
Seminar by Prof. Brian Cantor,06-10-2021 04.00 PM,06-10-2021 05.00 PM,Important,https://materials.iisc.ac.in/seminar/brian-10-jun-2021
PhD Colloquium by Mr. Abhay Gupta,07-05-2021  11.00 AM,07-05-2021  11.55 AM,Info,https://materials.iisc.ac.in/colloquium/abhay-05-jul-2021
PhD Colloquium by Mr. Gyan Shankar,07-19-2021  03.00 PM,07-19-2021  04.00 PM,Info,https://materials.iisc.ac.in/colloquium/gyan-19-jul-2021
PhD Colloquium by Ms. Radhika Wazalwar,07-20-2021  11.00 AM,07-20-2021  11.55 AM,Info,https://materials.iisc.ac.in/colloquium/radhika-20-jul-2021
PhD Colloquium by Ms. Anwesha Kanjilal,08-06-2021  11.00 AM,08-06-2021  11.55 AM,Info,https://materials.iisc.ac.in/colloquium/anwesha-6-aug-2021
PhD Thesis Defence  by Mr. Ujjval Bansal,08-03-2021  10.30 AM,08-03-2021  11.30 AM,Info,https://materials.iisc.ac.in/defence/ujjval-03-aug-2021
PhD Colloquium by Mr. Raj Jung Mahat,08-10-2021  11.00 AM,08-10-2021  11.55 AM,Info,https://materials.iisc.ac.in/colloquium/rajjung-10-aug-2021
PhD Colloquium by Ms. Panithi Sireesha,08-17-2021  04.00 PM,08-17-2021  05.00 PM,Info,https://materials.iisc.ac.in/colloquium/panithi-17-aug-2021
PhD Thesis Defence  by Mr. Aramanda Shanmukha Kiran,09-07-2021  3.00 PM,09-07-2021  4.00 PM,Info,https://materials.iisc.ac.in/defence/aramanda-07-sep-2021
PhD Thesis Defence  by Mr. Shobhit Pratap Singh,09-16-2021  10.30 AM,09-16-2021  11.30 AM,Info,https://materials.iisc.ac.in/defence/shobhit-16-sep-2021
PhD Colloquium by Ms. Devabharathi Nehru,09-21-2021  03.30 PM,09-21-2021  04.30 PM,Info,https://materials.iisc.ac.in/colloquium/bharathi-21-sep-2021
Seminar by Dr. R. Balamuralikrishnan,09-21-2021 04.00 PM,09-21-2021 05.00 PM,Important,https://materials.iisc.ac.in/seminar/balamurali-21-sep-2021
PhD Colloquium by Ms. Mitta Divya,10-11-2021  03.30 PM,10-11-2021  04.30 PM,Info,https://materials.iisc.ac.in/colloquium/divya-11-oct-2021
PhD Colloquium by Mr. Naveen Kumar,10-27-2021  03.30 PM,10-27-2021  04.30 PM,Info,https://materials.iisc.ac.in/colloquium/naveen-27-oct-2021
PhD Defence by Mr. Khanna Sumeet Rajesh,10-29-2021  02.00 PM,10-29-2021  03.00 PM,Info,https://materials.iisc.ac.in/defence/khanna-29-oct-2021
PhD Defence by Mr. Ahmed Aliyu,11-03-2021  11.00 AM,11-03-2021  11.55 AM,Info,https://materials.iisc.ac.in/defence/ahmed-03-nov-2021
Seminar by Dr. Syed G. Dastager,10-29-2021 04.00 PM,10-29-2021 05.00 PM,Important,https://materials.iisc.ac.in/seminar/syed-29-oct-2021
PhD Defence by Mr. Anupam Mishra,11-09-2021  11.30 AM,11-09-2021  12.30 PM,Info,https://materials.iisc.ac.in/defence/anupam-09-nov-2021
PhD Defence by Mr. Abhay Gupta,11-16-2021  10.00 AM,11-16-2021  11.00 AM,Info,https://materials.iisc.ac.in/defence/abhay-16-nov-2021
Seminar by Prof. Mukesh Jain,11-25-2021 03.30 PM,11-25-2021 04.30 PM,Important,https://materials.iisc.ac.in/seminar/mukesh-25-nov-2021
PhD Defence by Mr. Amith G. Anil,12-06-2021  02.30 PM,12-06-2021  03.30 PM,Info,https://materials.iisc.ac.in/defence/amith-06-dec-2021
Seminar by Dr. Pratheep K. Annamalai,12-03-2021 02.00 PM,12-03-2021 03.00 PM,Important,https://materials.iisc.ac.in/seminar/pratheep-03-dec-2021
Seminar by Dr. Bhuvanesh Srinivasan,12-10-2021 02.30 PM,12-10-2021 03.30 PM,Important,https://materials.iisc.ac.in/seminar/bhuvanesh-10-dec-2021
Seminar by Dr. Pavan Kumar Srivas,12-02-2021 04.30 PM,12-02-2021 05.30 PM,Important,https://materials.iisc.ac.in/seminar/pavan-02-dec-2021
Seminar by Dr. Sandip Mondal,12-09-2021 02.30 PM,12-09-2021 03.30 PM,Important,https://materials.iisc.ac.in/seminar/sandip-09-dec-2021
Seminar by Dr. Rajesh Kumar Ulaganathan,12-13-2021 02.00 PM,12-13-2021 03.00 PM,Important,https://materials.iisc.ac.in/seminar/rajesh-13-dec-2021
PhD Colloquium by Ms. Priya Goel,12-10-2021  03.30 PM,12-10-2021  04.30 PM,Info,https://materials.iisc.ac.in/colloquium/priya-10-dec-2021
PhD Defence by Mr. Angappan M,01-07-2022  11.30 AM,01-07-2022  12.30 PM,Info,https://materials.iisc.ac.in/defence/angappan-07-jan-2022
Seminar by Dr. Sachin Rondiya,12-15-2021 02.30 PM,12-15-2021 03.30 PM,Important,https://materials.iisc.ac.in/seminar/sachin-15-dec-2021
Seminar by Dr. Ajeet Kumar,12-16-2021 02.30 PM,12-16-2021 03.30 PM,Important,https://materials.iisc.ac.in/seminar/ajeet-16-dec-2021
Seminar by Dr. Prosenjit Das,12-20-2021 02.30 PM,12-20-2021 03.30 PM,Important,https://materials.iisc.ac.in/seminar/prosenjit-20-dec-2021
Seminar by Prof. J.W. Yeh,01-10-2022 11.00 AM,01-10-2022 11.55 AM,Important,https://materials.iisc.ac.in/seminar/yeh-10-jan-2022
PhD Defence by Mr. Subhasish Maiti,01-17-2022  11.00 AM,01-17-2022  11.55 AM,Info,https://materials.iisc.ac.in/colloquium/subhasish-17-jan-2022
Seminar by Apl. Prof. Dr. Guillaume Laplanche,01-27-2022 04.00 PM,01-27-2022 05.00 PM,Important,https://materials.iisc.ac.in/seminar/guillaume-27-jan-2022
PhD Defence by Ms. Radhika Wazalwar,01-21-2022  11.00 AM,01-21-2022  11.55 AM,Info,https://materials.iisc.ac.in/defence/radhika-21-jan-2022
PhD Defence by Ms. Panithi Sireesha,01-20-2022  02.30 PM,01-20-2022  03.30 PM,Info,https://materials.iisc.ac.in/defence/panithi-20-jan-2022
PhD Defence by Mr Prantosh Das,01-24-2022  11.30 AM,01-24-2022  12.30 PM,Info,https://materials.iisc.ac.in/colloquium/prantosh-24-jan-2022
PhD Defence by Mr Naveen Kumar,02-16-2022  11.00 AM,02-16-2022  11.55 AM,Info,https://materials.iisc.ac.in/defence/naveen-16-feb-2022
PhD Defence by Mr Gyan Shankar,02-18-2022  11.00 AM,02-18-2022  11.55 AM,Info,https://materials.iisc.ac.in/defence/gyan-18-feb-2022
PhD Defence by Mr. Sarvesh Kumar,02-21-2022  04.00 PM,02-21-2022  05.00 PM,Info,https://materials.iisc.ac.in/defence/sarvesh-21-feb-2022
Seminar by Dr. Syed Idrees Afzal Jalali (Ali),03-10-2022 04.00 PM,03-10-2022 05.00 PM,Important,https://materials.iisc.ac.in/seminar/syed-10-mar-2022
PhD Defence by Ms. Devabarathi Nehru,03-14-2022  11.00 AM,03-14-2022  11.55 AM,Info,https://materials.iisc.ac.in/defence/devabarathi-14-mar-2022
Seminar by Dr. Gerald Tennyson (TCS Research),03-24-2022 04.00 PM,03-24-2022 05.00 PM,Important,https://materials.iisc.ac.in/seminar/gerald-24-mar-2022
PhD Defence by Mr. Raj Jung Mahat,04-11-2022  09.00 AM,04-11-2022  10.00 AM,Info,https://materials.iisc.ac.in/defence/raj-11-apr-2022
Seminar by Prof. G. Ravichandran,04-15-2022 04.00 PM,04-15-2022 05.00 PM,Important,https://materials.iisc.ac.in/seminar/ravichandran-15-apr-2022
Seminar by Prof. Vikram Gavini,04-12-2022 10.00 AM,04-12-2022 10.45 AM,Important,https://materials.iisc.ac.in/seminar/vikram-12-apr-2022
Seminar by Prof. VA. Ravi,04-13-2022 04.00 PM,04-13-2022 05.00 PM,Important,https://materials.iisc.ac.in/seminar/ravi-13-apr-2022
Seminar by Salim Brahimi,04-22-2022 06.30 PM,04-22-2022 07.30 PM,Important,https://materials.iisc.ac.in/seminar/salim-22-apr-2022
Seminar by Prof. Dierk Raabe,04-21-2022 11.00 AM,04-21-2022 1.00 PM,Important,https://materials.iisc.ac.in/seminar/dierk-21-apr-2022
Seminar by Prof. VA. Ravi,04-26-2022 03.00 PM,04-26-2022 04.00 PM,Important,https://materials.iisc.ac.in/seminar/ravi-26-apr-2022
Seminar by Prof. Melis Serofoglu,04-27-2022 02.00 PM,04-27-2022 03.30 PM,Important,https://materials.iisc.ac.in/seminar/melis-27-apr-2022
Seminar by Dr. Rajaprakash Ramachandramoorthy,04-28-2022 11.00 AM,04-28-2022 01.00 PM,Important,https://materials.iisc.ac.in/seminar/rajaprakash-28-apr-2022
Seminar by Dr. Sowmya Indrakumar,04-29-2022 03.00 PM,04-29-2022 04.00 PM,Important,https://materials.iisc.ac.in/seminar/sowmya-29-apr-2022
PhD Colloquium by Mr. Nilawar Sagar Ram,05-05-2022  03.00 PM,05-05-2022  04.00 PM,Info,https://materials.iisc.ac.in/colloquium/nilawar-05-may-2022
Seminar by Prof. VA. Ravi,05-20-2022 03.00 PM,05-20-2022 04.00 PM,Important,https://materials.iisc.ac.in/seminar/ravi-20-may-2022
PhD Colloquium by Mr. Shailendra Kumar Verma,05-17-2022  03.30 PM,05-17-2022  04.30 PM,Info,https://materials.iisc.ac.in/colloquium/shailendra-17-may-2022
PhD Colloquium by Mr. Devansh Sharma,05-18-2022  02.00 PM,05-18-2022  03.00 PM,Info,https://materials.iisc.ac.in/colloquium/devansh-18-may-2022
Seminar by Prof. Wayne Chen,05-20-2022 06.00 PM,05-20-2022 07.00 PM,Important,https://materials.iisc.ac.in/seminar/wayne-20-may-2022
PhD Defence by Ms. Mitta Divya,05-30-2022  04.00 PM,05-30-2022  05.00 PM,Info,https://materials.iisc.ac.in/defence/divya-30-may-2022
PhD Defence by Ms. Anwesha Kanjilal,06-01-2022  3.00 PM,06-01-2022  4.00 PM,Info,https://materials.iisc.ac.in/defence/anwesha-1-jun-2022
Seminar by Prof Arokia Nathan,06-08-2022 04.00 PM,06-08-2022 05.00 PM,Important,https://materials.iisc.ac.in/seminar/arokia-08-jun-2022
Mtech(Res) Defence by Mr. Prantosh Das (M Tech Res),06-16-2022  11.00 AM,06-16-2022  11.55 AM,Info,https://materials.iisc.ac.in/defence/prantosh-16-jun-2022
PhD Colloquium by Ms. Sujata Singh,06-28-2022  10.30 AM,06-28-2022  11.55 AM,Info,https://materials.iisc.ac.in/colloquium/sujata-28-jun-2022
Seminar by Sai Prasad Nayak,06-21-2022 04.00 PM,06-21-2022 05.00 PM,Important,https://materials.iisc.ac.in/seminar/sai-21-jun-2022
Seminar by Prof. Apparao M. Rao,06-30-2022 11.00 AM,06-30-2022 11.55 AM,Important,https://materials.iisc.ac.in/seminar/apparao-30-jun-2022
Seminar by Prof. Apparao M. Rao,07-06-2022 11.00 AM,07-06-2022 11.55 AM,Important,https://materials.iisc.ac.in/seminar/apparao-06-jul-2022
PhD Colloquium by Mr. Subham Mridha,07-13-2022  03.30 PM,07-13-2022  04.30 PM,Info,https://materials.iisc.ac.in/colloquium/subham-13-jul-2022
Seminar by Prof. Kumar Sridharan,07-26-2022 12.01 PM,07-26-2022 01.00 PM,Important,https://materials.iisc.ac.in/seminar/kumaran-26-jul-2022
Seminar by Prof. B.S.Murty,08-21-2022 04.00 PM,08-21-2022 05.00 PM,Important,https://materials.iisc.ac.in/seminar/murty-21-aug-2022
PhD Colloquium by Mr. Sujata Singh,08-17-2022  03.00 PM,08-17-2022  04.00 PM,Info,https://materials.iisc.ac.in/colloquium/sujata-17-aug-2022
PhD Colloquium by K Sai Jyotheender,09-01-2022  03.00 PM,09-01-2022  04.00 PM,Info,https://materials.iisc.ac.in/colloquium/sai-01-sep-2022
PhD Defence by Ms. Priya Goel,09-21-2022  11.55 AM,09-21-2022  01.00 PM,Info,https://materials.iisc.ac.in/defence/priya-21-sep-2022
PhD Defence by Mr. Nilawar Sagar Ram,09-21-2022  02.30 PM,09-21-2022  03.03 PM,Info,https://materials.iisc.ac.in/defence/nilawar-21-sep-2022
PhD Colloquium by Ms. Shweta Shekar,10-14-2022  03.30 PM,10-14-2022  04.30 PM,Info,https://materials.iisc.ac.in/colloquium/shweta-14-oct-2022
PhD Defence by Mr. Devansh Sharma,10-12-2022  03.30 PM,10-12-2022  04.30 PM,Info,https://materials.iisc.ac.in/defence/devansh-12-oct-2022
Seminar by Dr. Jayasree Biswas,11-02-2022 03.30 PM,11-02-2022 04.30 PM,Important,https://materials.iisc.ac.in/seminar/jayasree-02-nov-2022
Seminar by Dr. Soumya Sridar,11-10-2022 05.30 PM,11-10-2022 06.30 PM,Important,https://materials.iisc.ac.in/seminar/soumya-10-nov-2022
PhD Colloquium by Ms. Smita Kamble,11-07-2022  03.30 PM,11-07-2022  04.30 PM,Info,https://materials.iisc.ac.in/colloquium/smita-07-nov-2022
Seminar by Dr. Sriharitha Rowthu,11-11-2022 11.00 AM,11-11-2022 11.55 AM,Important,https://materials.iisc.ac.in/seminar/sriharitha-11-nov-2022
PhD Defence by Mr. Kompella Sai Jyotheender,11-24-2022  02.30 PM,11-24-2022  03.30 PM,Info,https://materials.iisc.ac.in/defence/sai-24-nov-2022
PhD Colloquium by Mr. Jagadeshvaran P L,12-20-2022  02.30 PM,12-20-2022  03.30 PM,Info,https://materials.iisc.ac.in/colloquium/jagadeshvaran-20-dec-2022
Seminar by Dr. S. Elangovan,12-02-2022 11.00 AM,12-02-2022 11.55 AM,Important,https://materials.iisc.ac.in/seminar/elangovan-02-dec-2022
Seminar by Dr. Shankha Nag,12-16-2022 03.30 PM,12-16-2022 04.30 PM,Important,https://materials.iisc.ac.in/seminar/shankha-16-dec-2022
Seminar by Dr Daniel B. Miracle,12-06-2022 11.30 AM,12-06-2022 12.30 PM,Important,https://materials.iisc.ac.in/seminar/miracle-06-dec-2022
Seminar by Prof. Tresa Pollock,12-05-2022 03.30 PM,12-05-2022 04.30 PM,Important,https://materials.iisc.ac.in/seminar/tresa-05-dec-2022
Seminar by Mr Anubhav Roy,12-20-2022 11.00 AM,12-20-2022 11.55 AM,Important,https://materials.iisc.ac.in/seminar/anubhav-20-dec-2022
Seminar by Prof. Raman Singh,01-12-2023 03.30 PM,01-12-2023 04.30 PM,Important,https://materials.iisc.ac.in/seminar/ramansingh-12-jan-2023
Seminar by Prof. Raman Singh,01-19-2023 03.30 PM,01-19-2023 04.30 PM,Important,https://materials.iisc.ac.in/seminar/ramansingh-19-jan-2023
Seminar by Prof. Raman Singh,01-24-2023 03.30 PM,01-24-2023 04.30 PM,Important,https://materials.iisc.ac.in/seminar/ramansingh-24-jan-2023
PhD Colloquium by Mr. Raja Jothi Vikram,02-02-2023  04.00 PM,02-02-2023  05.00 PM,Info,https://materials.iisc.ac.in/colloquium/raja-02-feb-2023
PhD Colloquium by Mr. Gadi Venkat Arunchaitanya,02-06-2023  11.00 AM,02-06-2023  11.55 AM,Info,https://materials.iisc.ac.in/colloquium/gadi-06-feb-2023
PhD Colloquium by Mr. Anuj Dash,02-24-2023  03.00 PM,02-24-2023  04.00 PM,Info,https://materials.iisc.ac.in/colloquium/anuj-24-feb-2023
Seminar by Dr. Arun Devaraj,02-06-2023 10.00 AM,02-06-2023 11.00 AM,Important,https://materials.iisc.ac.in/seminar/arun-06-feb-2023
Seminar by Prof. Pierpaolo Carlone,02-07-2023 03.30 PM,02-07-2023 04.30 PM,Important,https://materials.iisc.ac.in/seminar/pierpaolo-07-feb-2023
Seminar by Prof. Rishi Raj,02-08-2023 11.00 AM,02-08-2023 11.55 AM,Important,https://materials.iisc.ac.in/seminar/rishiraj-08-feb-2023
PhD Colloquium by Mrs. Soumita Mondal,02-20-2023  04.00 PM,02-20-2023  05.00 PM,Info,https://materials.iisc.ac.in/colloquium/soumita-20-feb-2023
PhD Defence by Mrs. Poulami Banerjee,02-17-2023  10.30 AM,02-17-2023  11.30 AM,Info,https://materials.iisc.ac.in/defence/poulami-17-feb-2023
Seminar by Prof. Rajeev Ranjan,02-16-2023 04.00 PM,02-16-2023 05.00 PM,Important,https://materials.iisc.ac.in/seminar/rajeev-16-feb-2023
Seminar by Dr. Firoz Alam,02-16-2023 05.30 PM,02-16-2023 06.30 PM,Important,https://materials.iisc.ac.in/seminar/alam-16-feb-2023
PhD Defence by Ms. Smita Kamble,03-13-2023  11.00 AM,03-13-2023  11.55 AM,Info,https://materials.iisc.ac.in/defence/smita-13-mar-2023
